2025-11-01T14:29:23.000000000Z [inf]  Starting Container
2025-11-01T14:29:25.361837262Z [inf]  Server is running on port 8080
2025-11-01T14:29:25.361846038Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:25.361854280Z [inf]  Creating PostgresStore...
2025-11-01T14:29:25.361862169Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:25.361869898Z [inf]  PostgresStore initialized.
2025-11-01T14:29:25.361877508Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:25.361887554Z [inf]  WhatsApp client created.
2025-11-01T14:29:25.361894879Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:25.361902623Z [err]  node:events:495
2025-11-01T14:29:25.361911058Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:25.361919286Z [err]        ^
2025-11-01T14:29:25.361927694Z [err]  
2025-11-01T14:29:25.361936055Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:25.361944241Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:25.361953325Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:25.361961813Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:25.361970326Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:25.361978302Z [err]    errno: -2,
2025-11-01T14:29:25.361987471Z [err]    code: 'ENOENT',
2025-11-01T14:29:25.362006167Z [err]    syscall: 'open',
2025-11-01T14:29:25.362015119Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:25.362023964Z [err]  }
2025-11-01T14:29:25.362031781Z [err]  
2025-11-01T14:29:25.362048765Z [err]  Node.js v18.20.8
2025-11-01T14:29:26.401561264Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:26.401573106Z [inf]  PostgresStore initialized.
2025-11-01T14:29:26.401584129Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:26.401584501Z [inf]  Server is running on port 8080
2025-11-01T14:29:26.401589430Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:26.401593739Z [inf]  WhatsApp client created.
